axle_description,weight_per_axle,description_summary,axle_count,group_count,approx_axle_length,axle_length,max_axle_width,axle_group_summary,axles_per_group,axle_group_tire_type,axle_group_width,axle_operating_weights,axle_group_weight,axle_group_max_width,axle_group_total_weight,axle_group_distance
morbi vestibulum velit id pretium iaculis diam erat fermentum,449153.65,curabitur in libero ut,10,6,18.22,11.42,17.48,rutrum nulla tellus in sagittis,3,3,44.35,88868.18,46340.75,24.31,34105.36,45.33
id justo sit amet sapien dignissim vestibulum,290579.08,eget elit sodales scelerisque mauris,10,2,17.96,14.8,18.92,vivamus tortor duis mattis,4,3,48.96,65391.73,41538.22,29.93,95847.3,25.81
mi in porttitor pede justo eu,299404.0,vestibulum aliquet,7,9,7.56,19.88,11.79,condimentum curabitur in libero,3,3,38.41,70894.02,46523.7,45.7,36519.92,28.46
ultrices phasellus id sapien in sapien iaculis congue vivamus metus,398457.44,sit amet eros,10,4,7.47,16.74,15.66,volutpat eleifend donec ut dolor,3,4,23.29,45039.19,96152.04,29.65,66746.84,33.54
eleifend luctus ultricies eu nibh quisque id justo,229710.56,nisl aenean lectus pellentesque,7,3,11.76,8.01,9.34,cursus id turpis,2,3,20.96,43765.46,59550.8,34.5,64660.83,38.6
consectetuer adipiscing elit proin interdum mauris non,456100.42,ut nunc,7,6,17.14,12.41,10.88,felis ut at,4,4,23.75,13248.36,59240.96,31.61,59924.78,29.49
mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus,247989.24,tellus nisi eu orci,6,5,18.74,8.71,8.35,sodales scelerisque,3,4,43.13,45850.55,51958.17,20.66,80311.07,28.32
nulla quisque arcu libero rutrum,470637.69,eros elementum pellentesque,9,8,13.27,13.55,9.92,ultrices phasellus id sapien,2,4,41.46,42890.14,76590.53,28.55,19229.44,30.85
magnis dis parturient montes nascetur ridiculus mus etiam,354080.26,in leo maecenas,6,5,15.0,17.03,13.49,mauris eget,3,2,41.8,25301.46,56235.32,20.24,60888.0,38.04
ullamcorper purus sit amet nulla quisque,277505.38,ligula suspendisse ornare consequat lectus,3,6,13.39,6.98,14.98,ac est lacinia nisi,2,2,29.47,20843.34,11470.65,45.45,74770.96,22.31
natoque penatibus et magnis dis parturient montes nascetur ridiculus,390007.0,integer pede,4,4,15.68,15.06,9.95,non mattis pulvinar nulla,4,4,40.25,80384.78,25199.05,47.86,40518.13,34.53
at ipsum ac tellus semper interdum,356982.38,quisque id justo sit amet,6,7,14.01,19.17,9.09,neque libero convallis eget eleifend,3,3,45.09,94421.97,92147.67,26.91,17280.95,47.77
eu interdum eu tincidunt in leo maecenas pulvinar,387924.0,etiam pretium,8,4,16.77,19.08,14.44,consequat lectus in est risus,3,3,47.23,40278.65,63818.04,39.25,28749.11,36.81
sit amet eleifend pede libero quis orci,424707.23,nunc vestibulum,10,3,9.4,9.68,18.52,montes nascetur ridiculus mus,3,4,39.37,42612.22,31186.92,33.19,73461.93,33.37
amet turpis elementum ligula vehicula consequat morbi a,360568.69,nibh in lectus pellentesque,9,3,12.19,7.44,19.96,interdum in ante vestibulum ante,2,4,25.93,89625.46,58740.67,28.15,63412.43,27.28
ligula pellentesque ultrices phasellus id,435517.57,volutpat sapien,6,5,11.33,16.58,15.65,amet sapien,4,3,33.48,51786.61,33134.35,45.12,17302.21,35.11
urna pretium nisl ut volutpat sapien arcu sed augue aliquam,230784.13,ultrices phasellus id,7,2,7.17,10.66,6.81,ligula in,2,2,33.96,12055.57,83378.93,31.55,57451.3,20.81
phasellus id sapien in sapien iaculis congue,479627.14,lobortis ligula sit amet eleifend,10,6,11.72,10.18,7.58,sit amet erat nulla tempus,3,3,39.84,40079.92,27510.56,38.84,34004.78,48.13
ante vivamus tortor duis mattis egestas,124160.01,donec vitae nisi,8,2,6.55,6.7,14.51,faucibus cursus,4,4,34.28,76064.83,62853.44,20.61,79663.91,39.95
curabitur gravida nisi at nibh,190522.91,nullam orci,8,6,18.04,11.16,6.31,at velit vivamus vel nulla,3,3,40.07,75186.76,96256.12,36.83,83681.82,35.05
ante vestibulum ante ipsum primis in,367913.62,felis donec semper,10,9,14.42,8.81,6.6,convallis morbi odio odio elementum,3,3,31.46,14020.67,83713.17,43.4,70444.95,32.03
mi in porttitor pede justo eu massa,185964.0,in est,9,9,8.21,7.96,18.84,eget congue,2,3,22.5,75933.69,40657.32,31.24,99325.78,36.23
in libero ut massa volutpat convallis morbi,137281.98,ut massa volutpat convallis morbi,7,9,7.47,10.18,18.11,proin leo odio,4,3,39.39,89260.96,30915.85,47.25,53030.34,41.78
erat volutpat in congue etiam justo etiam pretium iaculis,150092.94,nonummy maecenas tincidunt lacus,5,9,12.48,11.15,10.56,aliquam lacus morbi quis tortor,2,2,43.4,39996.73,52289.72,45.46,34526.2,47.25
hendrerit at vulputate vitae nisl aenean lectus pellentesque,197017.35,lorem vitae mattis nibh,6,6,12.57,9.68,11.81,cum sociis natoque penatibus et,4,3,22.4,55794.08,91526.58,29.37,31234.66,28.6
massa tempor convallis nulla neque libero,333144.7,odio porttitor id consequat,10,6,16.8,8.29,16.79,lectus in est,4,2,26.39,21997.42,48827.83,33.79,88166.41,23.63
sit amet turpis elementum ligula vehicula consequat morbi a,331572.39,lorem quisque,9,10,13.92,16.18,19.62,lorem ipsum dolor sit,3,3,38.14,47104.0,62989.96,49.21,64189.35,33.37
semper interdum mauris ullamcorper purus sit amet nulla quisque,462241.36,sodales scelerisque mauris,7,9,12.71,14.03,19.37,placerat praesent,2,3,43.38,62324.42,84297.0,38.55,69860.07,24.38
ultrices erat tortor sollicitudin mi sit amet lobortis sapien,461226.33,vestibulum velit id,4,7,6.65,14.22,12.56,mi in,4,3,39.41,81934.6,15610.2,28.24,19472.67,41.45
tincidunt nulla mollis molestie lorem quisque ut,259870.23,venenatis non sodales sed tincidunt,8,2,15.23,14.18,18.94,ac lobortis vel dapibus at,4,4,42.21,17197.95,13620.29,38.89,80343.09,41.59
vel est donec odio justo sollicitudin ut,114684.07,accumsan tortor quis turpis,4,5,19.09,7.65,14.86,et eros vestibulum ac,3,4,34.74,35425.35,98166.76,27.52,11734.61,46.16
amet consectetuer adipiscing elit proin,103151.58,viverra diam vitae quam suspendisse,10,10,10.79,17.67,15.43,nec dui luctus rutrum nulla,4,4,35.38,40302.31,14191.87,43.9,50508.0,44.53
maecenas rhoncus aliquam lacus morbi quis tortor id nulla,333098.91,ipsum praesent blandit lacinia erat,10,8,10.91,10.57,16.18,interdum mauris,4,4,27.86,45663.87,29655.41,27.14,34150.27,41.63
turpis elementum ligula vehicula consequat,351025.12,amet consectetuer,4,5,16.05,8.4,7.95,in faucibus orci luctus et,3,4,45.69,29463.47,49876.42,43.57,39258.94,21.91
sed ante vivamus tortor duis mattis egestas metus aenean fermentum,385852.51,et ultrices posuere cubilia,6,9,9.3,6.21,19.08,sapien ut nunc vestibulum ante,3,4,38.38,94712.73,95744.54,49.97,74688.95,29.55
tristique fusce congue diam id,381550.47,in tempus sit,10,8,8.72,6.45,13.43,morbi ut odio,2,2,43.12,27988.66,73039.07,21.8,15563.8,49.69
in hac habitasse platea dictumst aliquam augue quam sollicitudin,127004.54,vestibulum ante,4,7,18.5,17.7,12.22,mauris eget massa tempor convallis,4,4,34.23,56594.96,98546.67,41.56,90546.2,29.05
nulla neque libero convallis eget eleifend luctus ultricies,444887.88,maecenas tincidunt lacus,4,9,17.18,6.04,17.77,vestibulum ante ipsum primis in,3,2,33.09,13917.87,58449.6,30.69,20009.31,21.34
sapien cum sociis natoque penatibus et magnis,243118.2,vel nulla,4,9,18.65,16.72,14.42,libero non mattis pulvinar,3,4,20.2,81688.79,27148.54,21.77,30034.77,31.74
pellentesque at nulla suspendisse potenti cras in purus eu,248861.93,vestibulum ante,8,7,8.2,9.61,6.07,vestibulum sed magna at nunc,4,3,37.22,11354.75,66940.35,27.68,12988.48,23.24
dis parturient montes nascetur ridiculus mus,225342.11,est donec odio justo sollicitudin,9,7,6.94,10.13,17.39,eget elit sodales scelerisque mauris,4,3,34.04,48995.64,63311.0,24.76,71598.59,36.58
non lectus aliquam sit amet diam in magna,384407.44,et eros vestibulum ac est,10,3,12.53,8.91,13.39,dolor sit amet consectetuer,4,2,23.71,23487.12,84629.52,42.97,33732.39,31.17
eu massa donec dapibus duis at velit,112093.41,sapien arcu,7,9,7.81,18.77,13.25,id sapien in sapien,2,2,23.39,85736.97,22023.21,31.63,74869.76,29.35
sapien quis libero nullam sit amet turpis elementum ligula vehicula,472183.15,turpis eget elit,6,2,14.3,14.08,19.14,vel lectus in quam fringilla,3,3,48.41,42105.33,66672.46,36.72,43649.61,44.45
luctus ultricies eu nibh quisque id justo sit amet,385649.8,libero quis orci nullam,7,3,18.14,8.3,7.92,pellentesque volutpat dui,3,4,36.62,10040.93,92938.92,24.33,78631.94,47.04
molestie lorem quisque ut erat curabitur gravida nisi at nibh,441402.34,sapien cursus,9,2,13.28,14.85,15.4,lacus at turpis donec,2,2,27.22,31703.07,83896.81,27.59,29312.89,21.03
eget orci vehicula condimentum curabitur in libero,380639.03,nisl duis ac nibh fusce,9,5,16.41,11.05,10.92,id mauris,4,4,43.42,86654.34,49682.0,25.72,14165.52,48.44
vivamus metus arcu adipiscing molestie hendrerit at vulputate,403391.23,lobortis sapien,3,6,15.79,12.28,17.32,congue risus semper porta volutpat,2,3,20.26,78880.0,56408.8,36.02,55280.6,36.69
justo nec condimentum neque sapien placerat ante nulla justo aliquam,142720.35,ut nulla sed accumsan felis,7,3,7.32,7.27,12.71,magna vestibulum aliquet ultrices,2,3,24.94,68797.15,94597.21,38.26,40621.3,45.15
eros vestibulum ac est lacinia,166521.66,id ornare imperdiet sapien,5,8,7.46,10.43,17.05,et magnis,4,3,46.23,56643.47,83154.1,23.5,64290.48,31.36
cubilia curae mauris viverra diam vitae quam suspendisse potenti,318750.11,tempus sit amet,6,10,11.45,10.66,9.31,mus etiam vel,4,3,42.02,51564.79,49668.96,24.95,44427.36,29.52
orci mauris lacinia sapien quis libero nullam sit amet,218571.46,consequat varius integer,5,6,15.74,6.67,7.35,semper rutrum nulla nunc purus,2,3,23.15,35268.85,69044.65,33.39,69901.94,43.86
ac lobortis vel dapibus at diam nam tristique,137278.12,auctor gravida sem praesent,7,9,15.85,15.67,16.06,at ipsum ac,4,4,21.16,25406.57,76798.18,45.77,26065.04,30.51
vulputate ut ultrices vel augue vestibulum ante ipsum,164923.69,sodales scelerisque mauris sit,10,2,11.33,12.08,15.56,turpis nec euismod,2,4,27.54,43609.68,73017.57,34.85,45577.17,29.34
lacinia nisi venenatis tristique fusce,201479.28,vitae nisi nam ultrices libero,10,5,10.43,8.95,19.09,bibendum morbi non quam,4,2,22.67,26763.55,87713.47,44.35,78639.82,45.14
consequat varius integer ac leo,431087.61,turpis donec posuere metus,9,5,16.02,10.07,8.03,massa tempor convallis,4,2,22.27,97903.78,83361.79,38.88,60339.12,42.93
amet erat nulla tempus vivamus in felis eu sapien cursus,303045.03,sed justo pellentesque,9,5,14.2,10.99,11.77,nisl nunc nisl duis,2,3,45.54,74134.12,14299.82,46.23,12694.24,28.98
amet nulla quisque arcu libero rutrum,328133.93,interdum eu,7,10,13.77,18.31,13.61,cras pellentesque volutpat dui,3,3,22.05,43223.16,68939.97,32.3,74226.28,26.17
erat eros viverra eget congue eget semper rutrum,417365.64,pede morbi porttitor,7,5,18.57,8.58,6.4,nullam porttitor,2,2,46.4,12270.51,70680.66,28.4,45309.24,41.92
ac leo pellentesque ultrices mattis odio donec vitae,305917.05,dignissim vestibulum vestibulum ante,3,3,12.32,12.91,7.5,eros suspendisse,4,2,21.56,63595.46,32994.29,31.98,50356.59,45.29
sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis,473306.38,ut erat id,10,3,7.08,13.74,7.03,in leo maecenas pulvinar lobortis,3,4,44.78,47512.21,19688.01,21.37,18753.99,43.81
nascetur ridiculus mus etiam vel augue vestibulum,366638.2,non lectus aliquam,4,4,16.7,11.87,13.85,at nibh in hac,4,2,37.67,34592.69,42090.27,47.89,33317.19,38.06
tempus semper est quam pharetra magna ac consequat metus,122979.24,sed accumsan felis ut,3,5,15.15,12.68,7.28,nam congue risus,4,4,35.03,70465.98,54007.31,31.6,98617.83,38.7
justo etiam pretium iaculis justo in hac habitasse,270716.95,elementum pellentesque quisque,9,7,9.26,17.76,19.55,sem praesent id massa,4,2,36.39,36945.84,66418.05,32.45,10180.32,21.9
aenean auctor gravida sem praesent id massa id nisl venenatis,336321.08,sapien quis libero nullam,10,6,13.49,14.72,11.68,est quam pharetra magna ac,2,4,27.05,50855.79,18805.71,25.17,79557.42,24.55
rutrum rutrum neque aenean auctor,143009.93,lectus pellentesque eget nunc donec,3,4,10.5,9.91,19.41,nulla ultrices aliquet maecenas,3,4,38.97,50503.94,92962.1,27.08,95330.5,43.22
adipiscing elit proin risus praesent lectus,291582.96,fringilla rhoncus mauris enim leo,7,5,12.1,10.39,12.94,auctor sed tristique in,2,4,42.85,39936.93,53506.0,25.81,90255.3,25.7
eget elit sodales scelerisque mauris sit amet eros,270148.0,in felis,8,3,7.58,9.0,19.12,sagittis nam,2,3,27.54,12310.94,37261.7,41.42,94617.3,34.44
vel sem sed sagittis nam congue,483387.78,vel nisl duis,4,10,12.45,16.23,15.35,ullamcorper purus sit,3,3,28.88,89938.46,91596.47,20.72,19666.11,21.33
tellus nisi eu orci mauris lacinia,105674.83,mattis egestas metus aenean,10,7,12.83,8.74,17.47,ligula sit amet eleifend pede,3,4,48.13,44616.31,26763.66,31.34,73073.06,42.78
lorem ipsum dolor sit amet consectetuer adipiscing elit proin,345558.04,at feugiat non,7,6,19.43,7.36,11.13,vel nisl duis ac nibh,2,4,36.57,83061.1,95745.98,43.28,62542.37,31.41
justo sollicitudin ut suscipit a feugiat,237259.19,sagittis nam congue,7,8,17.83,16.71,17.82,primis in faucibus orci,3,2,39.22,98819.15,89158.46,21.71,47195.92,41.5
primis in faucibus orci luctus et ultrices posuere cubilia curae,356517.59,volutpat erat quisque erat,4,4,11.73,17.04,15.06,tincidunt nulla,3,3,29.03,56502.82,77164.72,24.62,98247.61,20.7
morbi a ipsum integer a nibh in quis justo,219224.33,pellentesque ultrices phasellus id sapien,4,6,18.85,7.94,9.01,elit proin interdum,2,3,41.29,56724.05,27931.66,48.87,70496.26,30.69
sit amet nunc viverra dapibus nulla,144591.66,lobortis convallis tortor risus,3,9,12.85,14.66,10.28,nulla elit ac,4,3,48.0,29569.58,30506.77,30.01,72724.66,30.91
eget tempus vel pede morbi porttitor,469903.26,sapien iaculis congue,10,2,8.48,11.46,13.41,felis fusce posuere felis sed,3,2,39.68,49543.33,41924.89,40.19,37199.49,33.09
integer a nibh in quis justo maecenas rhoncus aliquam lacus,340180.63,molestie nibh in lectus pellentesque,3,6,7.41,11.3,16.99,in porttitor pede,3,3,21.01,83678.35,99273.94,26.21,59200.92,32.36
consectetuer adipiscing elit proin risus praesent lectus vestibulum,257177.1,morbi sem mauris laoreet ut,9,3,10.58,16.52,9.56,dictumst etiam faucibus cursus,3,3,44.26,64938.73,16513.22,42.92,31524.36,40.32
at feugiat non pretium quis lectus suspendisse potenti,350395.57,tellus nisi eu orci mauris,7,4,19.32,17.06,10.77,sapien sapien non mi,2,4,39.45,32908.45,53414.6,28.05,78643.88,41.04
vivamus vestibulum sagittis sapien cum sociis natoque penatibus,198097.44,ut mauris eget,5,7,19.93,16.45,18.83,ultrices phasellus id,3,3,23.86,41528.75,40255.3,23.95,76250.22,37.39
augue vestibulum ante ipsum primis,318246.64,lacus at turpis donec posuere,8,8,16.75,14.98,16.0,dictumst maecenas ut,4,4,34.01,47375.02,21311.2,30.29,57787.51,28.13
vitae nisl aenean lectus pellentesque eget,128123.11,sit amet,8,2,14.12,15.62,9.03,morbi non lectus,2,4,47.99,99660.62,27742.28,27.76,24562.61,34.01
turpis a pede posuere nonummy integer,467726.03,sed augue aliquam erat,7,10,19.08,10.83,17.63,diam in,4,2,49.36,87614.54,73275.13,45.49,49345.29,38.1
morbi vestibulum velit id pretium iaculis,109128.92,interdum in ante vestibulum ante,10,4,16.27,17.15,9.21,at lorem integer tincidunt ante,4,2,49.99,92299.45,36628.32,47.35,59114.96,39.22
nunc commodo placerat praesent blandit nam nulla integer pede justo,181518.3,ante ipsum primis,5,4,9.95,13.57,8.29,nulla ultrices,2,2,28.69,97067.43,49260.21,35.37,85474.23,41.77
libero nullam sit amet turpis elementum ligula vehicula consequat,336388.24,sed magna at,5,9,19.69,6.82,7.91,semper est quam pharetra magna,4,3,48.71,77331.86,26250.35,20.6,16019.81,32.27
id ligula suspendisse ornare consequat lectus in,328073.05,dapibus at diam,4,2,12.89,10.15,6.52,iaculis justo,3,3,21.19,18047.99,82538.28,22.08,50486.8,22.32
ligula nec sem duis aliquam convallis nunc proin at,477037.9,nam dui,8,4,19.34,15.18,8.62,faucibus cursus urna,2,3,27.51,87965.78,29816.77,24.31,46624.49,28.06
rhoncus aliquam lacus morbi quis tortor id nulla,497458.98,lorem ipsum dolor,9,9,8.54,17.49,13.62,donec posuere metus vitae ipsum,4,4,24.6,45777.59,41496.91,31.22,65719.31,49.75
hac habitasse platea dictumst etiam faucibus cursus urna,393722.19,nisl nunc rhoncus dui,6,5,10.1,9.63,10.0,proin eu,2,2,48.29,31687.68,25548.73,37.74,91562.18,23.79
integer tincidunt ante vel ipsum praesent blandit lacinia,178278.75,diam erat fermentum justo nec,6,4,19.09,12.01,19.17,primis in,3,3,27.78,18513.93,25564.03,48.95,29675.85,49.53
velit nec nisi vulputate nonummy,259732.76,vestibulum velit id pretium,5,8,11.94,6.92,16.71,aliquet massa id lobortis,2,2,31.04,68228.34,27145.01,26.48,53711.34,36.54
iaculis congue vivamus metus arcu adipiscing molestie hendrerit at,484828.26,donec diam neque vestibulum,8,8,19.15,15.21,19.54,in faucibus orci luctus,3,4,41.21,27098.33,50335.08,32.1,65472.57,21.9
donec pharetra magna vestibulum aliquet ultrices,137419.41,id turpis,6,10,12.5,7.07,17.23,ac neque duis,4,3,27.26,51010.63,15318.56,24.73,69855.6,28.8
tempor convallis nulla neque libero,423579.1,vel sem sed,4,6,17.28,18.5,8.45,non velit donec diam,2,2,47.65,55172.42,46647.77,34.02,27290.49,24.49
justo in hac habitasse platea dictumst etiam faucibus cursus,437870.96,elementum eu,6,2,10.73,19.58,8.04,maecenas rhoncus aliquam,4,2,38.19,21351.77,94408.97,34.95,75428.76,23.9
ac nulla sed vel enim,488629.36,in porttitor pede justo eu,8,9,16.87,9.27,15.65,nulla suscipit ligula in,4,3,34.0,75067.74,85307.22,20.5,11768.07,48.23
eleifend quam a odio in hac,309651.92,consequat varius integer ac leo,9,3,9.4,18.83,9.6,id nulla,4,4,38.18,52500.13,88543.4,35.42,43029.54,35.89
eros elementum pellentesque quisque porta volutpat,148394.0,pharetra magna vestibulum,8,10,17.84,6.44,17.39,rhoncus aliquet pulvinar sed nisl,2,3,22.95,90087.07,85339.12,45.32,22687.14,47.04
massa donec dapibus duis at,435465.82,sed sagittis nam,5,3,11.62,8.62,13.99,phasellus sit amet erat,3,4,24.2,26174.85,38461.9,33.93,92466.63,42.97
in imperdiet et commodo vulputate justo in blandit ultrices enim,145733.6,curabitur at ipsum,5,6,6.18,13.85,7.06,sagittis sapien,4,4,24.33,24121.48,10957.79,35.96,39922.65,28.33
dolor quis odio consequat varius integer ac,262768.92,maecenas tristique est,9,6,9.43,14.54,15.71,nunc proin at,3,2,32.31,61788.01,49457.46,26.2,34138.96,34.15
odio justo sollicitudin ut suscipit,171314.54,platea dictumst,7,7,16.27,6.77,12.06,primis in faucibus orci luctus,2,3,34.67,48433.36,72373.82,49.68,53612.19,28.48
erat fermentum justo nec condimentum neque sapien placerat ante,234888.7,accumsan tellus nisi eu orci,5,4,6.39,9.39,15.69,dictumst maecenas ut massa,3,3,20.23,80190.33,74017.01,35.11,44411.35,33.79
nam dui proin leo odio porttitor id consequat in consequat,400178.51,leo maecenas pulvinar,10,6,9.23,11.75,7.87,velit vivamus,2,4,22.79,81606.01,60517.17,39.63,58869.58,20.37
iaculis justo in hac habitasse platea dictumst,253371.92,habitasse platea dictumst morbi vestibulum,5,8,16.03,7.89,8.64,etiam justo etiam,2,3,21.66,78119.66,75890.16,46.59,26185.97,22.9
justo sollicitudin ut suscipit a feugiat,458176.2,curabitur convallis duis,6,4,11.03,19.56,15.25,libero quis,3,4,37.99,51531.19,46117.0,36.14,85213.08,35.31
quisque ut erat curabitur gravida nisi at nibh,467995.42,in congue etiam justo etiam,7,2,8.47,9.2,11.51,sed accumsan felis,3,2,24.3,24388.73,66488.95,20.01,88279.36,48.8
velit vivamus vel nulla eget eros elementum pellentesque,343696.8,lobortis sapien sapien,8,10,8.39,12.47,6.19,mollis molestie lorem,2,3,34.65,19473.93,96701.66,37.95,48379.23,31.63
platea dictumst etiam faucibus cursus,472697.04,nisi volutpat eleifend,5,2,11.68,12.18,18.92,malesuada in imperdiet,4,4,22.98,44460.51,63254.46,39.76,34023.59,39.51
platea dictumst etiam faucibus cursus urna,232930.42,rutrum neque aenean,10,6,17.62,18.47,12.57,suspendisse potenti,2,3,23.46,72864.98,82692.33,44.55,11070.72,33.14
donec dapibus duis at velit eu est congue elementum in,395048.99,dapibus at diam,10,6,12.77,17.38,13.07,egestas metus,4,2,42.85,50731.91,50542.25,45.82,43675.28,35.87
non interdum in ante vestibulum ante ipsum,477856.22,aenean sit amet justo,4,10,14.92,11.59,15.42,ut tellus nulla ut erat,3,3,29.57,53045.1,99106.34,21.14,81299.16,20.6
maecenas tincidunt lacus at velit vivamus vel nulla,141047.5,id ligula suspendisse ornare,7,4,19.79,6.14,11.1,sit amet,4,3,36.6,53729.79,56998.64,23.4,35886.59,26.65
ante ipsum primis in faucibus orci,228898.94,leo odio,10,7,7.86,13.94,7.95,commodo placerat praesent blandit nam,4,2,39.11,25706.23,13627.34,22.65,40712.79,23.43
massa quis augue luctus tincidunt nulla mollis molestie lorem quisque,435174.99,at nunc commodo placerat praesent,5,9,10.72,13.47,19.54,nullam molestie nibh,4,4,43.11,85044.27,28536.61,22.44,95223.07,49.11
mollis molestie lorem quisque ut,364745.2,nisl ut volutpat sapien arcu,6,8,15.9,8.82,11.25,sed sagittis nam congue,2,4,33.35,83974.26,21606.21,27.69,76884.08,24.43
vivamus metus arcu adipiscing molestie,197349.0,eu interdum eu tincidunt,6,5,17.53,7.12,13.5,primis in,2,2,31.42,99422.49,94960.56,48.14,77445.48,27.9
feugiat non pretium quis lectus suspendisse potenti in eleifend,131541.53,pulvinar sed nisl nunc rhoncus,9,2,19.71,17.28,17.34,sit amet diam,3,2,40.21,94429.58,17559.51,35.85,25168.97,44.96
platea dictumst morbi vestibulum velit id pretium iaculis,157547.15,dictumst morbi vestibulum velit,10,10,19.34,8.46,10.61,in felis donec,4,2,30.0,29222.62,96730.88,26.33,19350.1,46.82
sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus,118172.47,feugiat et,4,5,11.19,12.9,16.24,nullam porttitor lacus,4,2,24.92,31856.65,41602.56,46.27,25740.93,34.15
nulla nisl nunc nisl duis bibendum felis,315741.73,luctus tincidunt nulla,8,8,10.85,18.56,19.05,justo etiam pretium iaculis justo,4,3,28.53,86832.8,94818.06,26.98,24307.01,32.04
faucibus orci luctus et ultrices,243020.19,metus aenean fermentum donec,6,3,17.32,11.99,12.31,enim lorem ipsum,3,4,37.73,94629.57,27198.42,43.17,57159.88,36.65
odio odio elementum eu interdum eu,291248.45,interdum venenatis turpis,6,7,7.27,7.4,19.48,congue eget semper rutrum,2,2,35.5,21898.49,91140.61,29.8,86514.02,44.23
vitae ipsum aliquam non mauris morbi,452685.12,vestibulum velit id,6,7,16.67,17.99,11.18,sed vel enim sit,3,4,49.84,81073.16,71253.29,33.41,38397.35,27.99
nulla pede ullamcorper augue a suscipit nulla elit,438640.57,at feugiat non pretium,3,5,14.84,18.34,18.97,nibh in lectus pellentesque at,2,3,38.2,93809.67,89831.31,48.88,15750.83,20.12
amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam,217117.8,vestibulum ante ipsum primis,10,8,8.8,6.89,11.81,felis ut at dolor quis,2,4,37.54,91404.24,69848.52,26.32,39625.05,25.73
ligula pellentesque ultrices phasellus id sapien in,166702.48,sit amet consectetuer adipiscing elit,8,8,12.75,15.13,14.89,potenti nullam porttitor lacus at,3,4,34.9,27741.57,85655.92,30.73,63573.94,35.59
nulla ac enim in tempor,151825.0,ut suscipit,10,10,14.02,9.23,7.46,vitae nisi nam ultrices,3,2,31.18,56683.78,42573.74,22.24,63915.57,21.39
turpis sed ante vivamus tortor duis mattis egestas metus,427026.08,vestibulum rutrum rutrum neque,10,3,6.72,19.43,7.9,vivamus vel nulla eget eros,3,4,44.17,96299.27,21901.57,49.71,51435.89,43.69
morbi vestibulum velit id pretium iaculis diam erat fermentum justo,346594.25,praesent lectus vestibulum quam sapien,3,8,14.39,9.11,10.04,vitae nisi nam,3,3,25.05,58514.49,49384.41,36.38,27964.94,40.78
nonummy integer non velit donec diam neque vestibulum eget,247808.92,eget nunc donec quis orci,6,2,9.05,13.97,7.39,iaculis congue vivamus,3,4,39.15,60221.27,51998.3,48.65,27706.96,34.73
curae nulla dapibus dolor vel est donec,420360.2,ullamcorper purus sit amet,5,3,16.68,16.78,11.63,donec diam neque vestibulum,4,4,24.77,53027.39,62778.34,49.33,46482.77,41.77
vel est donec odio justo sollicitudin ut suscipit,289043.68,consequat morbi,7,2,11.67,13.44,6.57,velit vivamus vel nulla,2,2,38.37,82481.47,58727.37,44.01,59387.4,43.52
tincidunt eget tempus vel pede morbi porttitor lorem id,255123.71,libero non mattis pulvinar,8,2,12.13,6.01,9.03,id mauris vulputate elementum nullam,3,2,35.81,22390.58,49227.56,27.95,87023.18,31.54
dapibus augue vel accumsan tellus nisi eu orci mauris lacinia,108813.66,lorem integer tincidunt ante vel,10,2,18.56,10.56,14.31,diam erat fermentum justo,2,3,27.32,51219.0,97934.46,36.6,35476.87,43.5
curabitur convallis duis consequat dui nec,135614.82,posuere metus vitae,3,5,11.94,6.94,16.75,ac tellus semper interdum mauris,4,2,37.73,62356.8,86804.87,46.29,94573.77,47.26
diam erat fermentum justo nec condimentum neque sapien placerat,262544.21,in lacus,6,7,19.56,6.97,19.39,suspendisse potenti cras in,3,3,47.5,32783.47,38583.04,47.2,53908.34,29.37
justo maecenas rhoncus aliquam lacus morbi quis,414760.48,maecenas tristique,8,9,12.92,12.38,6.01,tellus nisi eu,2,4,34.91,36209.14,52864.33,24.88,31115.98,22.47
quam sapien varius ut blandit non interdum in ante vestibulum,474152.51,erat quisque erat,6,8,19.28,18.33,16.01,turpis a,2,4,34.79,50407.88,40274.89,32.97,10867.0,25.5
amet consectetuer adipiscing elit proin risus,266352.12,donec ut,6,9,13.77,8.66,8.95,lectus in,4,3,26.45,77933.03,61236.91,40.56,29132.76,49.35
id sapien in sapien iaculis congue vivamus metus arcu adipiscing,233653.7,et tempus semper est,5,10,8.87,12.26,19.75,sem sed,3,2,48.49,54673.41,21607.97,24.23,98915.09,32.93
sapien a libero nam dui proin leo odio porttitor,325517.68,pede venenatis non sodales,4,9,11.74,16.52,9.91,integer tincidunt ante,4,2,25.42,99505.8,24387.04,45.25,29319.61,21.95
tempus sit amet sem fusce consequat nulla nisl,460104.37,tempus vivamus,3,9,14.2,14.79,19.56,quam fringilla rhoncus,4,3,28.66,93128.9,80418.94,39.62,93542.7,26.57
sed vestibulum sit amet cursus id turpis integer aliquet massa,192289.1,sapien quis,8,6,13.94,10.51,7.76,ornare imperdiet sapien urna pretium,2,3,39.27,19446.74,93668.73,43.49,31472.01,31.21
